Rank,Campus,Escola,Cidade,Tipo,Area,Inscritos,Timestamp,Modalidade
24,Todas as unidades,ESCOLA MUNICIPAL VINICIUS DE MORAES,Belo Horizonte - MG,Pública Municipal,Urbana,26,2026-08-18 17:45:00.000000,INT
25,Todas as unidades,ESCOLA MUNICIPAL JUDITH AUGUSTA FERREIRA,Congonhas - MG,Pública Municipal,Urbana,26,2026-08-18 17:45:00.000000,INT
26,Todas as unidades,E M RAUL SARAIVA RIBEIRO,Betim - MG,Pública Municipal,Urbana,26,2026-08-18 17:45:00.000000,INT
27,Todas as unidades,ESCOLA MUNICIPAL ANA AMELIA QUEIROZ,Itabirito - MG,Pública Municipal,Urbana,26,2026-08-18 17:45:00.000000,INT
28,Todas as unidades,EE LEVINDO COSTA CARVALHO,Ouro Branco - MG,Pública Estadual,Urbana,25,2026-08-18 17:45:00.000000,INT
29,Todas as unidades,ESCOLA SESI HAMLETO MAGNAVACCA,Belo Horizonte - MG,Privada,Urbana,25,2026-08-18 17:45:00.000000,INT
30,Todas as unidades,EE PRESIDENTE ITAMAR FRANCO,Santa Luzia - MG,Pública Estadual,Urbana,25,2026-08-18 17:45:00.000000,INT
1,Arcos,EE YOLANDA JOVINO VAZ,Arcos - MG,Pública Estadual,Urbana,20,2026-08-18 17:45:00.000000,INT
2,Arcos,EE DA VILA BOA VISTA,Arcos - MG,Pública Estadual,Urbana,12,2026-08-18 17:45:00.000000,INT
3,Arcos,CENTRO EDUC CONCEICAO FERREIRA NUNES-CECON,Arcos - MG,Privada,Urbana,7,2026-08-18 17:45:00.000000,INT
4,Arcos,EE DONA BERENICE DE MAGALHAES PINTO,Arcos - MG,Pública Estadual,Urbana,4,2026-08-18 17:45:00.000000,INT
5,Arcos,ESCOLA NOSSA SENHORA DO CARMO,Arcos - MG,Privada,Urbana,4,2026-08-18 17:45:00.000000,INT
6,Arcos,INPA INSTITUTO PEDAGOGICO ARCOENSE,Arcos - MG,Privada,Urbana,3,2026-08-18 17:45:00.000000,INT
7,Arcos,INSTITUTO EDUCACIONAL MARIA APARECIDA RIBEIRO,Arcos - MG,Privada,Urbana,3,2026-08-18 17:45:00.000000,INT
8,Arcos,EE DONA MARICOTA PINTO,Arcos - MG,Pública Estadual,Urbana,3,2026-08-18 17:45:00.000000,INT
9,Arcos,CESEC MONSENHOR GERALDO M VASCONCELOS,Arcos - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,INT
10,Arcos,COLEGIO LOSANGO DE ARCOS,Arcos - MG,Privada,Urbana,2,2026-08-18 17:45:00.000000,INT
11,Arcos,INSTITUTO SAGRADA FAMILIA,Natal - RN,Privada,Urbana,1,2026-08-18 17:45:00.000000,INT
12,Arcos,EE PAULA CARVALHO,Iguatama - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,INT
13,Arcos,ESC ALTINA MAGALHAES DA SILVA,Acrelândia - AC,Pública Municipal,Rural,1,2026-08-18 17:45:00.000000,INT
14,Arcos,OUTROS (ESCOLA NÃO LOCALIZADA/OUTROS PAÍSES),Outra - OU,Privada,Urbana,1,2026-08-18 17:45:00.000000,INT
15,Arcos,EM LAURA ANDRADE,Arcos - MG,Pública Municipal,Rural,1,2026-08-18 17:45:00.000000,INT
16,Arcos,EE JOSE GERALDO DE MELO,Arcos - MG,Pública Estadual,Rural,1,2026-08-18 17:45:00.000000,INT
17,Arcos,EM MARIA EULALIA DE JESUS,Doresópolis - MG,Pública Municipal,Urbana,1,2026-08-18 17:45:00.000000,INT
18,Arcos,EE PADRE PEDRO LAMBERTI,Japaraíba - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,INT
1,Bambuí,EE JOAO BATISTA DE CARVALHO,Bambuí - MG,Pública Estadual,Urbana,31,2026-08-18 17:45:00.000000,INT
2,Bambuí,EE PAULA CARVALHO,Iguatama - MG,Pública Estadual,Urbana,11,2026-08-18 17:45:00.000000,INT
3,Bambuí,C EDUC EVOLUCAO,Bambuí - MG,Privada,Urbana,11,2026-08-18 17:45:00.000000,INT
4,Bambuí,EM SEBASTIAO LEMOS TORRES,Medeiros - MG,Pública Municipal,Urbana,9,2026-08-18 17:45:00.000000,INT
5,Bambuí,EE DOUTOR JOSE CORDEIRO DE CAMPOS,Campos Altos - MG,Pública Estadual,Urbana,4,2026-08-18 17:45:00.000000,INT
6,Bambuí,EE PROFESSOR FRANCISCO ROCHA,Córrego Danta - MG,Pública Estadual,Urbana,3,2026-08-18 17:45:00.000000,INT
7,Bambuí,EE CAPITAO ALEXANDRE DU,Luz - MG,Pública Estadual,Urbana,3,2026-08-18 17:45:00.000000,INT
8,Bambuí,EM DE PAU FERRO,Bambuí - MG,Pública Municipal,Rural,3,2026-08-18 17:45:00.000000,INT
9,Bambuí,EM DOM MANOEL NUNES COELHO,Luz - MG,Pública Municipal,Urbana,2,2026-08-18 17:45:00.000000,INT
10,Bambuí,CIEP MUN PE MARIO GERLIN,Bambuí - MG,Pública Municipal,Rural,2,2026-08-18 17:45:00.000000,INT
11,Bambuí,EE PADRE PEDRO LAMBERTI,Japaraíba - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,INT
12,Bambuí,ESC COOP DE ENSINO DE BAMBUI,Bambuí - MG,Privada,Urbana,2,2026-08-18 17:45:00.000000,INT
13,Bambuí,ESCOLA MUNICIPAL CEL SEBASTIAO FONTE BOA,Santa Rosa da Serra - MG,Pública Municipal,Rural,2,2026-08-18 17:45:00.000000,INT
14,Bambuí,EE PROFESSOR JOSE VICENTE,Piumhi - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,INT
15,Bambuí,OUTROS (ESCOLA NÃO LOCALIZADA/OUTROS PAÍSES),Outra - OU,Privada,Urbana,2,2026-08-18 17:45:00.000000,INT
16,Bambuí,EE VASCO SANTOS,Araxá - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,INT
17,Bambuí,ESCOLA MUNICIPAL BRAZILINO RODRIGUES DE SOUZA,Carlos Chagas - MG,Pública Municipal,Rural,1,2026-08-18 17:45:00.000000,INT
18,Bambuí,EE JOAO GUIMARAES ROSA,Três Marias - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,INT
19,Bambuí,ESCOLA MUNICIPAL DOM BOSCO,Belo Horizonte - MG,Pública Municipal,Urbana,1,2026-08-18 17:45:00.000000,INT
20,Bambuí,EE DONA FRANCISCA DE OLIVEIRA,Pompéu - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,INT
21,Bambuí,EE YOLANDA JOVINO VAZ,Arcos - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,INT
22,Bambuí,ESCOLA DE REFERENCIA EM ENSINO MEDIO DJALMA MACEDO GOMES,Santa Filomena - PE,Pública Estadual,Rural,1,2026-08-18 17:45:00.000000,INT
23,Bambuí,EE PROFESSOR JOAQUIM RODARTE,Formiga - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,INT
24,Bambuí,EE CUSTODIO COSTA,Cláudio - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,INT
25,Bambuí,COL MILITAR TIRADENTES,Brasília - DF,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,INT
26,Bambuí,EE PAULO PINHEIRO DA SILVA,Caeté - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,INT
27,Bambuí,EE ANTERO MAGALHAES DE AGUIAR,Santa Rosa da Serra - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,INT
28,Bambuí,EE PROFESSOR FRANCISCO DE PAULA REBELO HORTA,Piumhi - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,INT
29,Bambuí,INSTITUTO EDUCACIONAL MARIA APARECIDA RIBEIRO,Arcos - MG,Privada,Urbana,1,2026-08-18 17:45:00.000000,INT
30,Bambuí,COL DOM BOSCO,Araxá - MG,Privada,Urbana,1,2026-08-18 17:45:00.000000,INT
1,Betim,EM ISABEL NASCIMENTO DE MATTOS,Contagem - MG,Pública Municipal,Urbana,34,2026-08-18 17:45:00.000000,INT
2,Betim,E M RAUL SARAIVA RIBEIRO,Betim - MG,Pública Municipal,Urbana,26,2026-08-18 17:45:00.000000,INT
3,Betim,E M RITA MARIA DA SILVA - TIA RITINHA,Betim - MG,Pública Municipal,Urbana,24,2026-08-18 17:45:00.000000,INT
4,Betim,EM PROFESSORA MARIA MARTINS MARIINHA,Contagem - MG,Pública Municipal,Urbana,24,2026-08-18 17:45:00.000000,INT
5,Betim,OUTROS (ESCOLA NÃO LOCALIZADA/OUTROS PAÍSES),Outra - OU,Privada,Urbana,23,2026-08-18 17:45:00.000000,INT
6,Betim,COLEGIO NEUZA DUTRA,Betim - MG,Privada,Urbana,22,2026-08-18 17:45:00.000000,INT
7,Betim,EM ELI HORTA COSTA,Contagem - MG,Pública Municipal,Urbana,21,2026-08-18 17:45:00.000000,INT
8,Betim,E M MARIA CRISTINA,Betim - MG,Pública Municipal,Urbana,17,2026-08-18 17:45:00.000000,INT
9,Betim,E M ANTONIO DASSIS MARTINS,Betim - MG,Pública Municipal,Urbana,17,2026-08-18 17:45:00.000000,INT
10,Betim,ESCOLA SESI ALVIMAR CARNEIRO DE REZENDE,Contagem - MG,Privada,Urbana,17,2026-08-18 17:45:00.000000,INT
11,Betim,INSTITUTO OLIVEIRA LARA,Betim - MG,Privada,Urbana,15,2026-08-18 17:45:00.000000,INT
12,Betim,COLEGIO SANTA MARIA MINAS UNIDADE CONTAGEM,Contagem - MG,Privada,Urbana,14,2026-08-18 17:45:00.000000,INT
13,Betim,CENTRO EDUCACIONAL TECNICO E DE ARTES PROFISSIONAIS - CETAP,Betim - MG,Pública Municipal,Urbana,14,2026-08-18 17:45:00.000000,INT
14,Betim,E M MARIA DA CONCEICAO BRITO,Betim - MG,Pública Municipal,Urbana,14,2026-08-18 17:45:00.000000,INT
15,Betim,E M MARGARIDA SOARES GUIMARAES,Betim - MG,Pública Municipal,Urbana,12,2026-08-18 17:45:00.000000,INT
16,Betim,EE ESTUDANTE LIVIA MARA DE CASTRO,Betim - MG,Pública Estadual,Urbana,12,2026-08-18 17:45:00.000000,INT
17,Betim,E M CLOVIS SALGADO,Betim - MG,Pública Municipal,Urbana,12,2026-08-18 17:45:00.000000,INT
18,Betim,E M JOSEFINA MACEDO GONTIJO,Betim - MG,Pública Municipal,Urbana,11,2026-08-18 17:45:00.000000,INT
19,Betim,E M PROFESSOR KASSIO VINICIUS CASTRO GOMES,Betim - MG,Pública Municipal,Urbana,11,2026-08-18 17:45:00.000000,INT
20,Betim,E M ANA CANDIDA DE JESUS,Betim - MG,Pública Municipal,Urbana,11,2026-08-18 17:45:00.000000,INT
21,Betim,ESCOLA SESI BETIM MARIA MADALENA NOGUEIRA,Betim - MG,Privada,Urbana,10,2026-08-18 17:45:00.000000,INT
22,Betim,E M ABILIO GOMES DA COSTA,Betim - MG,Pública Municipal,Urbana,10,2026-08-18 17:45:00.000000,INT
23,Betim,E M ARISTIDES JOSE DA SILVA,Betim - MG,Pública Municipal,Urbana,10,2026-08-18 17:45:00.000000,INT
24,Betim,INSTITUTO EROS GUSTAVO,Contagem - MG,Privada,Urbana,9,2026-08-18 17:45:00.000000,INT
25,Betim,EM SOCRATES MARIANI BITTENCOURT,Contagem - MG,Pública Municipal,Urbana,9,2026-08-18 17:45:00.000000,INT
26,Betim,E M ANTONIO TEREZA DOS SANTOS,Betim - MG,Pública Municipal,Urbana,9,2026-08-18 17:45:00.000000,INT
27,Betim,E M SEBASTIAO FERREIRA DE OLIVEIRA,Betim - MG,Pública Municipal,Urbana,8,2026-08-18 17:45:00.000000,INT
28,Betim,E M EDMEIA DUARTE DE OLIVEIRA BRAGA,Betim - MG,Pública Municipal,Urbana,8,2026-08-18 17:45:00.000000,INT
29,Betim,E M ARTHUR TRINDADE,Betim - MG,Pública Municipal,Urbana,8,2026-08-18 17:45:00.000000,INT
30,Betim,E M JOAO BATISTA MACHADO DE BRITO,Betim - MG,Pública Municipal,Urbana,8,2026-08-18 17:45:00.000000,INT
1,Congonhas,EM FORTUNATA DE FREITAS JUNQUEIRA,Congonhas - MG,Pública Municipal,Urbana,34,2026-08-18 17:45:00.000000,INT
2,Congonhas,ESCOLA MUNICIPAL JUDITH AUGUSTA FERREIRA,Congonhas - MG,Pública Municipal,Urbana,26,2026-08-18 17:45:00.000000,INT
3,Congonhas,EM ZULEIKA HALFELD DE ALBUQUERQUE,Jeceaba - MG,Pública Municipal,Urbana,21,2026-08-18 17:45:00.000000,INT
4,Congonhas,ESCOLA MUNICIPAL DOM JOAO MUNIZ,Congonhas - MG,Pública Municipal,Urbana,17,2026-08-18 17:45:00.000000,INT
5,Congonhas,COLEGIO SAGRADO CORACAO DE JESUS,Congonhas - MG,Privada,Urbana,12,2026-08-18 17:45:00.000000,INT
6,Congonhas,COL N SRA DA PIEDADE,Congonhas - MG,Privada,Urbana,10,2026-08-18 17:45:00.000000,INT
7,Congonhas,EM AMELIA DANUNCIACAO PYRAMO,São Brás do Suaçuí - MG,Pública Municipal,Urbana,10,2026-08-18 17:45:00.000000,INT
8,Congonhas,ESCOLA MUNICIPAL JOSE MONTEIRO DE CASTRO,Congonhas - MG,Pública Municipal,Urbana,10,2026-08-18 17:45:00.000000,INT
9,Congonhas,COLEGIO ARCEBISPO DOM OSCAR DE OLIVEIRA,Congonhas - MG,Privada,Urbana,10,2026-08-18 17:45:00.000000,INT
10,Congonhas,EE BARAO DE PARAOPEBA,Congonhas - MG,Pública Estadual,Urbana,9,2026-08-18 17:45:00.000000,INT
11,Congonhas,EM MICHAEL PEREIRA DE SOUZA,Congonhas - MG,Pública Municipal,Urbana,9,2026-08-18 17:45:00.000000,INT
12,Congonhas,EE DOUTOR GAMA CERQUEIRA,Belo Vale - MG,Pública Estadual,Urbana,9,2026-08-18 17:45:00.000000,INT
13,Congonhas,EM JOAO NARCISO,Congonhas - MG,Pública Municipal,Urbana,7,2026-08-18 17:45:00.000000,INT
14,Congonhas,C EDUC TEC GAL EDMUNDO M S SILVA,Congonhas - MG,Privada,Urbana,7,2026-08-18 17:45:00.000000,INT
15,Congonhas,EE RIBEIRO DE OLIVEIRA,Entre Rios de Minas - MG,Pública Estadual,Urbana,7,2026-08-18 17:45:00.000000,INT
16,Congonhas,OUTROS (ESCOLA NÃO LOCALIZADA/OUTROS PAÍSES),Outra - OU,Privada,Urbana,6,2026-08-18 17:45:00.000000,INT
17,Congonhas,ESCOLA MUNICIPAL DONA CAETANA PEREIRA TRINDADE,Congonhas - MG,Pública Municipal,Urbana,5,2026-08-18 17:45:00.000000,INT
18,Congonhas,EE FELICIANO MENDES,Congonhas - MG,Pública Estadual,Urbana,4,2026-08-18 17:45:00.000000,INT
19,Congonhas,ESCOLA MUNICIPAL PROFESSOR DORIOL BEATO,Conselheiro Lafaiete - MG,Pública Municipal,Urbana,4,2026-08-18 17:45:00.000000,INT
20,Congonhas,EE AUGUSTO JOSE VIEIRA,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,3,2026-08-18 17:45:00.000000,INT
21,Congonhas,EE QUEIROZ JUNIOR,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,INT
22,Congonhas,EM SR ODORICO MARTINHO DA SILVA,Congonhas - MG,Pública Municipal,Urbana,2,2026-08-18 17:45:00.000000,INT
23,Congonhas,ESCOLA MUNICIPAL PROFESSORA NILCE MOREIRA,Conselheiro Lafaiete - MG,Pública Municipal,Urbana,2,2026-08-18 17:45:00.000000,INT
24,Congonhas,EM ROSALIA ANDRADE DA GLORIA,Congonhas - MG,Pública Municipal,Urbana,2,2026-08-18 17:45:00.000000,INT
25,Congonhas,COL POTENCIA,Conselheiro Lafaiete - MG,Privada,Urbana,2,2026-08-18 17:45:00.000000,INT
26,Congonhas,EE LAMARTINE DE FREITAS,Congonhas - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,INT
27,Congonhas,EE EXPEDICIONARIO GERALDO BAETA,Entre Rios de Minas - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,INT
28,Congonhas,EE SANTOS REIS,Jeceaba - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,INT
29,Congonhas,COLEGIO EDUCAR,Conselheiro Lafaiete - MG,Privada,Urbana,1,2026-08-18 17:45:00.000000,INT
30,Congonhas,ESCOLA MUNICIPAL DOUTOR RUI PENA CAIC,Conselheiro Lafaiete - MG,Pública Municipal,Urbana,1,2026-08-18 17:45:00.000000,INT
1,Conselheiro Lafaiete,ESCOLA MUNICIPAL PROFESSOR DORIOL BEATO,Conselheiro Lafaiete - MG,Pública Municipal,Urbana,20,2026-08-18 17:45:00.000000,INT
2,Conselheiro Lafaiete,ESCOLA MUNICIPAL NAPOLEAO REIS,Conselheiro Lafaiete - MG,Pública Municipal,Urbana,19,2026-08-18 17:45:00.000000,INT
3,Conselheiro Lafaiete,ESCOLA MUNICIPAL MERIDIONAL,Conselheiro Lafaiete - MG,Pública Municipal,Urbana,12,2026-08-18 17:45:00.000000,INT
4,Conselheiro Lafaiete,EE AUGUSTO JOSE VIEIRA,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,12,2026-08-18 17:45:00.000000,INT
5,Conselheiro Lafaiete,EE DOMINGOS BEBIANO,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,9,2026-08-18 17:45:00.000000,INT
6,Conselheiro Lafaiete,ESCOLA MUNICIPAL PROFESSOR LUIZ CARLOS GOMES BEATO,Conselheiro Lafaiete - MG,Pública Municipal,Urbana,9,2026-08-18 17:45:00.000000,INT
7,Conselheiro Lafaiete,ESCOLA MUNICIPAL PROFESSORA NILCE MOREIRA,Conselheiro Lafaiete - MG,Pública Municipal,Urbana,8,2026-08-18 17:45:00.000000,INT
8,Conselheiro Lafaiete,EM DEPUTADO SEBASTIAO PATRUS DE SOUSA,Carandaí - MG,Pública Municipal,Urbana,8,2026-08-18 17:45:00.000000,INT
9,Conselheiro Lafaiete,EE GENERAL SYLVIO RAULINO DE OLIVEIRA,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,7,2026-08-18 17:45:00.000000,INT
10,Conselheiro Lafaiete,EE NARCISO DE QUEIROS,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,7,2026-08-18 17:45:00.000000,INT
11,Conselheiro Lafaiete,EE FRANCISCO DO CARMO,Carandaí - MG,Pública Estadual,Urbana,7,2026-08-18 17:45:00.000000,INT
12,Conselheiro Lafaiete,EE GUSTAVO AUGUSTO DA SILVA,Catas Altas da Noruega - MG,Pública Estadual,Urbana,6,2026-08-18 17:45:00.000000,INT
13,Conselheiro Lafaiete,EE LOPES FRANCO,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,6,2026-08-18 17:45:00.000000,INT
14,Conselheiro Lafaiete,COL POTENCIA,Conselheiro Lafaiete - MG,Privada,Urbana,5,2026-08-18 17:45:00.000000,INT
15,Conselheiro Lafaiete,EE LUIZ DE MELLO VIANNA SOBRINHO,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,5,2026-08-18 17:45:00.000000,INT
16,Conselheiro Lafaiete,EE CORONEL CELSO RESENDE,Caranaíba - MG,Pública Estadual,Urbana,5,2026-08-18 17:45:00.000000,INT
17,Conselheiro Lafaiete,COL QUELUZ DE MINAS,Conselheiro Lafaiete - MG,Privada,Urbana,4,2026-08-18 17:45:00.000000,INT
18,Conselheiro Lafaiete,COLEGIO NOSSA SENHORA DE NAZARE,Conselheiro Lafaiete - MG,Privada,Urbana,4,2026-08-18 17:45:00.000000,INT
19,Conselheiro Lafaiete,COLEGIO PROFESSORA ELI MARQUES,Conselheiro Lafaiete - MG,Privada,Urbana,4,2026-08-18 17:45:00.000000,INT
20,Conselheiro Lafaiete,EE PROFESSOR ASTOR VIANNA,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,3,2026-08-18 17:45:00.000000,INT
21,Conselheiro Lafaiete,EE GERALDO BITTENCOURT,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,3,2026-08-18 17:45:00.000000,INT
22,Conselheiro Lafaiete,EE MOACIR DE SOUZA DIAS,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,3,2026-08-18 17:45:00.000000,INT
23,Conselheiro Lafaiete,OUTROS (ESCOLA NÃO LOCALIZADA/OUTROS PAÍSES),Outra - OU,Privada,Urbana,3,2026-08-18 17:45:00.000000,INT
24,Conselheiro Lafaiete,EM MONS RAUL COUTINHO,Cristiano Otoni - MG,Pública Municipal,Urbana,3,2026-08-18 17:45:00.000000,INT
25,Conselheiro Lafaiete,EE SANTO AMARO,Queluzito - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,INT
26,Conselheiro Lafaiete,EE PREFEITO GENTIL PEREIRA LIMA,Carandaí - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,INT
27,Conselheiro Lafaiete,EE CONSELHEIRO ANTAO,Itaverava - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,INT
28,Conselheiro Lafaiete,EM PRESIDENTE TANCREDO NEVES,Juiz de Fora - MG,Pública Municipal,Urbana,2,2026-08-18 17:45:00.000000,INT
29,Conselheiro Lafaiete,EM DEPUTADO ABELARD PEREIRA,Carandaí - MG,Pública Municipal,Urbana,2,2026-08-18 17:45:00.000000,INT
30,Conselheiro Lafaiete,EE MONSENHOR HORTA,Conselheiro Lafaiete - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,INT
1,Formiga,EE DR ABILIO MACHADO,Formiga - MG,Pública Estadual,Urbana,20,2026-08-18 17:45:00.000000,INT
2,Formiga,EE JALCIRA SANTOS VALADAO,Formiga - MG,Pública Estadual,Urbana,13,2026-08-18 17:45:00.000000,INT
3,Formiga,EE PADRE JOSE VENANCIO,Pains - MG,Pública Estadual,Urbana,13,2026-08-18 17:45:00.000000,INT
4,Formiga,EM ARLINDO DE MELLO,Formiga - MG,Pública Municipal,Urbana,12,2026-08-18 17:45:00.000000,INT
5,Formiga,EE PROFESSOR JOAQUIM RODARTE,Formiga - MG,Pública Estadual,Urbana,12,2026-08-18 17:45:00.000000,INT
6,Formiga,EM RAFAEL JOSE ALVES,Córrego Fundo - MG,Pública Municipal,Urbana,8,2026-08-18 17:45:00.000000,INT
7,Formiga,EE AURELIANO RODRIGUES NUNES,Formiga - MG,Pública Estadual,Urbana,6,2026-08-18 17:45:00.000000,INT
8,Formiga,EE RODOLFO ALMEIDA,Formiga - MG,Pública Estadual,Urbana,4,2026-08-18 17:45:00.000000,INT
9,Formiga,COLEGIO LOSANGO DE FORMIGA,Formiga - MG,Privada,Urbana,3,2026-08-18 17:45:00.000000,INT
10,Formiga,COLEGIO UNIFOR,Formiga - MG,Privada,Urbana,2,2026-08-18 17:45:00.000000,INT
11,Formiga,EE PADRE JOSE SANGALI,Córrego Fundo - MG,Pública Estadual,Urbana,2,2026-08-18 17:45:00.000000,INT
12,Formiga,EM MIRALDA DA SILVA CARVALHO,Formiga - MG,Pública Municipal,Urbana,2,2026-08-18 17:45:00.000000,INT
13,Formiga,EM JOSE JOAO DE MELO,Formiga - MG,Pública Municipal,Rural,2,2026-08-18 17:45:00.000000,INT
14,Formiga,COLEGIO ROBERTO CARNEIRO,Divinópolis - MG,Privada,Urbana,1,2026-08-18 17:45:00.000000,INT
15,Formiga,ESCOLA NOSSA SENHORA DO CARMO,Arcos - MG,Privada,Urbana,1,2026-08-18 17:45:00.000000,INT
16,Formiga,EM CENTRO DE ATENCAO INTEGRAL A CRIANCA - CAIC,Formiga - MG,Pública Municipal,Urbana,1,2026-08-18 17:45:00.000000,INT
17,Formiga,EE PROFESSOR FRANCISCO ROCHA,Córrego Danta - MG,Pública Estadual,Urbana,1,2026-08-18 17:45:00.000000,INT
18,Formiga,INSTITUTO EDUCACIONAL CONVIVER,Barra da Estiva - BA,Privada,Urbana,1,2026-08-18 17:45:00.000000,INT
19,Formiga,OUTROS (ESCOLA NÃO LOCALIZADA/OUTROS PAÍSES),Outra - OU,Privada,Urbana,1,2026-08-18 17:45:00.000000,INT
